order_id,customer_id,order_date,delivery_time_min,status,total_amount_xaf,city,quartier,product_category,courier_id,order_hour,order_day_of_week,order_day,order_month
100000,CUST11954,2024-07-06 14:31:00,44.7,livré,15444.0,Yaounde,Biyem-Assi,inconnu,47,14,Friday,Saturday,2024-07
100001,CUST11317,2024-04-20 18:56:00,53.9,livré,16188.0,Yaounde,Messa,inconnu,32,18,Saturday,Saturday,2024-04
100002,CUST17374,2024-10-07 17:37:00,260.7,en_retard,11497.0,Douala,Bonabéri,restauration,32,17,Wednesday,Monday,2024-10
100003,CUST10224,2023-03-29 07:48:00,253.8,en_retard,20301.0,Yaounde,Nlongkak,epicerie,22,7,Wednesday,Wednesday,2023-03
100004,CUST11846,2024-12-29 08:35:00,66.5,livré,15639.0,Yaounde,Bastos,inconnu,30,8,Sunday,Sunday,2024-12
100005,CUST17287,2024-02-14 19:41:00,287.3,en_retard,59249.0,Douala,Village,vetement,43,19,Wednesday,Wednesday,2024-02
100006,CUST10909,2024-12-17 15:02:00,38.8,livré,5920.0,Douala,Kotto,hygiene,27,15,Tuesday,Tuesday,2024-12
100007,CUST10387,2022-02-07 22:51:00,32.1,livré,25000.0,Douala,Akwa,epicerie,7,22,Saturday,Monday,2022-02
100008,CUST17144,2024-12-28 11:37:00,10.8,annulé,25000.0,Bafoussam,Tamdja,epicerie,14,11,Saturday,Saturday,2024-12
100009,CUST10572,2024-10-28 15:54:00,145.9,en_retard,348663.0,Douala,Ngodi-Bakoko,electronique,22,15,Monday,Monday,2024-10
100010,CUST11495,2024-09-30 11:24:00,30.6,livré,9990.0,Yaounde,Essos,boisson,4,11,Monday,Monday,2024-09
100011,CUST17173,2024-01-04 00:00:00,82.6,livré,10639.0,Yaounde,Etoudi,epicerie,6,0,Thursday,Thursday,2024-01
100012,CUST11473,2024-06-27 17:27:00,162.2,en retard,75000.0,Yaounde,Jouvence,articles menagers,5,17,Thursday,Thursday,2024-06
100013,CUST10767,2024-12-06 17:10:00,225.1,en_retard,8044.0,Yaounde,Messa,boisson,6,17,Friday,Friday,2024-12
100014,CUST11534,2024-12-19 00:07:00,55.8,livré,9511.0,Yaounde,Mokolo,epicerie,33,0,Thursday,Thursday,2024-12
100015,CUST17282,2024-12-24 19:07:00,55.6,livre,3804.0,Douala,Bonapriso,restauration,36,19,Tuesday,Tuesday,2024-12
100016,CUST17163,2024-12-06 20:49:00,43.2,livré,18000.0,Bafoussam,Bamougoum,restauration,12,20,Friday,Friday,2024-12
100017,CUST11386,2025-02-26 00:00:00,178.2,en_retard,5099.0,Yaounde,Mendong,produit frais,35,0,Wednesday,Wednesday,2025-02
100018,CUST11683,2023-08-04 18:01:00,20.7,annulé,7613.0,Douala,New-Bell,epicerie,19,18,Friday,Friday,2023-08
100019,CUST11189,2024-05-10 00:00:00,39.4,livré,11211.0,Yaounde,Mendong,produit frais,42,0,Friday,Friday,2024-05
100020,CUST17299,2024-12-21 12:15:00,31.3,livré,45000.0,Douala,PK12,cosmetique,31,12,Saturday,Saturday,2024-12
100021,CUST10311,2024-05-22 11:36:00,133.5,en_retard,365248.0,Yaounde,Essos,electronique,16,11,Wednesday,Wednesday,2024-05
100022,CUST10792,2023-08-03 12:47:00,25.1,livré,48072.0,Bafoussam,Fomekoua,inconnu,7,12,Thursday,Thursday,2023-08
100023,CUST10270,2024-12-25 20:59:00,45.7,en_retard,5420.0,Douala,Deido,restauration,10,20,Wednesday,Wednesday,2024-12
100024,CUST10578,2025-03-09 00:00:00,34.4,livré,12249.0,Douala,Bepanda,papeterie,23,0,Sunday,Sunday,2025-03
100025,CUST10987,2025-02-24 00:00:00,34.3,livré,66390.0,Douala,Bonabéri,vetement,4,0,Monday,Monday,2025-02
100026,CUST11082,2022-05-07 03:45:00,184.4,en_retard,18000.0,Yaounde,Madagascar,restauration,41,3,Tuesday,Saturday,2022-05
100027,CUST10751,2023-04-10 00:00:00,39.2,livré,16306.0,Douala,Akwa,inconnu,27,0,Wednesday,Monday,2023-04
100028,CUST11953,2024-01-07 22:29:00,82.6,en_retard,120000.0,Douala,Mboppi,vetement,6,22,Monday,Sunday,2024-01
100029,CUST17215,2024-03-25 00:00:00,33.5,livré,7044.0,Bafoussam,Centre Ville,produit frais,15,0,Monday,Monday,2024-03
100030,CUST11133,2024-12-10 12:32:00,109.3,en_retard,11024.0,Douala,Bonamoussadi,inconnu,16,12,Saturday,Tuesday,2024-12
100031,CUST11089,2023-06-09 22:40:00,32.4,livré,5279.0,Yaounde,Ngoa-Ekele,boisson,6,22,Friday,Friday,2023-06
100032,CUST11450,2023-11-04 00:00:00,28.7,livré,8434.0,Bafoussam,Tougang,epicerie,15,0,Saturday,Saturday,2023-11
100033,CUST11208,2024-05-15 22:55:00,24.0,livre,50000.0,Bafoussam,Fomekoua,inconnu,3,22,Wednesday,Wednesday,2024-05
100034,CUST10931,2024-03-04 09:25:00,45.7,en_retard,83506.0,Douala,Kotto,vetement,31,9,Monday,Monday,2024-03
100035,CUST12033,2022-09-20 11:35:00,45.7,livré,8599.0,Douala,Logbessou,epicerie,45,11,Tuesday,Tuesday,2022-09
100036,CUST11069,2023-08-08 00:00:00,115.7,en_retard,71697.0,Bafoussam,Tougang,pharmacie,33,0,Tuesday,Tuesday,2023-08
100037,CUST11643,2023-12-28 00:00:00,45.7,en_retard,26395.0,Douala,Ndokotti,articles menagers,24,0,Thursday,Thursday,2023-12
100038,CUST11956,2022-03-02 10:53:00,40.7,livré,74973.0,Bafoussam,Djeleng,vetement,22,10,Wednesday,Wednesday,2022-03
100039,CUST17118,2025-01-06 12:08:00,32.6,livré,3344.0,Bafoussam,Tamdja,restauration,36,12,Monday,Monday,2025-01
